knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,exercise_type
72.14,67.46,69.8,37.72,92.84,118.07,72.09,30.6,65.28,0.802,0.04303276577723125,6.094745327320178,16.917341976145966,0.09009252947816615,0.06790979060622909,0.09979644014741662,0.5147586858865596,0.09765943296860635,-2.1413661405692817,3.6152119555775046,102.34,151.06,0.1050277298740735,0.056679325493491306,SQUAT
172.67,172.33,172.5,176.07,125.09,102.69,109.51,33.89,125.09,0.15,0.003193564822094208,2.2188215615212616,12.370636703732485,0.0007455100957608485,0.10653621898477816,0.011030772801766509,0.16671877644297234,0.002934129867117441,-73.40050493427299,13.806064750814969,102.97,86.43,0.11864404793394018,0.13482027943774405,SQUAT
167.63,171.23,169.43,162.15,178.57,147.18,119.79,7.91,170.36,0.994,0.0065989657293973325,2.3760529621534743,1.388499209374272,0.007127041868375983,0.07708495693607431,0.1616104328805854,0.2084530811721435,0.16643319420119462,2.9841893463479376,7.840055269704865,70.21,104.45,0.11237636663153161,0.12395228825456084,SQUAT
145.64,135.73,140.685,159.86,144.13,145.49,106.69,7.09,156.21,0.464,0.012641626604550704,-1.5929865770120233,3.330767159740522,-0.027747271755544978,0.0525934442218533,0.09471705009728426,0.1460778397048662,0.1100227645846924,16.159407911973165,13.961381812110368,130.38,119.36,0.09424036264846392,0.11182162280041541,SQUAT
98.3,101.18,99.74000000000001,75.71,98.57,112.94,101.32,24.05,75.71,0.295,0.0012664595987914584,0.5393299144810959,-1.7605076746192605,0.10643563663892974,0.004069926704944216,0.06831243325135822,0.13858201384893284,0.07988507280878421,16.940751495183928,18.50676546111597,95.52,81.21,0.13890325453557573,0.0999396727662415,SQUAT
81.46,97.45,89.455,16.7,137.26,77.28,18.09,41.37,137.26,0.25,0.0055472389835816704,11.947034285077269,-0.6471089108944561,0.0542979034499288,0.00735941137439633,0.0016523804870683945,0.34079776155337077,0.0366562952425431,2118.393132176091,7.05117811656066,129.24,167.91,0.08603034010716082,0.04162639965195214,SQUAT
140.87,146.59,143.73000000000002,171.31,108.54,174.7,79.15,72.75,108.54,0.15,0.005180045433547442,-0.3547320401506959,13.399421869194688,-0.01331864757940976,0.033225461413161184,0.016638809166177326,0.20248984823787464,0.031969598155391354,92.13873923368153,15.741264288479242,97.89,113.64,0.08600364969318242,0.07722784000547023,SQUAT
79.56,88.82,84.19,123.97,168.98,98.84,82.4,71.0,168.98,0.152,0.008336659879568775,-0.6862937384518764,10.270015367492725,0.1023232847548739,0.014636580011331501,0.0037464062944034815,0.080784343780537,0.0053964608854979446,44.043663752096904,11.793263942254944,91.45,137.22,0.13908250896124064,0.10398604951247392,SQUAT
136.32,153.01,144.665,153.77,117.67,95.71,160.52,2.22,153.77,0.15,0.029986724026504152,-6.1612169268380255,-0.45190761720591555,-0.034546408241080684,0.017773187137147484,0.03266103670780229,0.1317219248778167,0.012670864509405022,-61.20495309820304,2.3533705101738693,53.3,89.27,0.1051303147998941,0.17180373765775792,SQUAT
116.51,105.37,110.94,83.41,61.87,98.11,110.15,56.14,77.72,0.528,0.03273778335504052,7.256570178245991,-4.668672523802686,-0.017073773538913428,0.016465982073292418,0.09314357769442916,0.05734085392779731,0.130191410852732,39.77497329965525,11.569930136285471,94.17,142.08,0.11842707057843593,0.11011442423369122,SQUAT
179.64,178.13,178.885,108.14,106.81,129.04,137.78,73.79,108.14,0.1,0.009453723256172664,0.8093681174103473,1.6465293323615127,0.060987229601305704,0.07785066459247236,0.0021871137639229987,0.0013118935106977703,0.012953529317614176,492.26591370261383,13.02507349024868,156.67,134.2,0.04316223833372912,0.08747081884978525,SQUAT
73.61,76.25,74.93,43.71,39.83,109.73,118.76,22.91,43.03,0.352,0.011801836905984575,-0.6948666184811936,-0.6680789271796717,0.06608991045303336,0.042739903727589956,0.08973649513798448,0.2547199606398551,0.10004965367727636,11.492713776522825,11.00744103988922,141.81,112.61,0.09271058452218395,0.12223797569507233,SQUAT
