knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,phase_code,BACK_ROUNDED,HIPS_TOO_HIGH,score
145.55,135.58,140.565,87.02,106.36,161.23,179.4,45.66,87.02,0.25,0.02010616480683114,-4.382771307762312,-1.7749985027213977,-0.03922597793325605,-0.018057986625819256,0.0012192451594120746,0.38459692933622225,0.06645160899241653,5350.225369314551,10.74075653572965,119.44,157.7,0.08465626962895956,0.01930022774317841,2,HIGH,NONE,75.0
175.28,168.64,171.95999999999998,149.38,164.25,161.07,150.61,37.34,149.38,0.0,0.0005090439119292967,0.6335569278670072,1.1330894202583819,0.007478045559562385,-0.011170312688257023,0.015803537232330633,0.04423577851375354,0.0013014878410904096,-91.76457889169365,5.265839288156055,160.86,164.15,0.0036149844544808296,0.01443800170111742,1,NONE,LOW,95.0
90.35,100.26,95.305,126.27,128.47,175.78,146.78,28.3,127.37,0.976,0.0011847746315888363,-1.9064968716854258,1.0912100693470927,-0.019707629817182826,-0.005409257258159328,0.14791812603210552,0.20438804862693205,0.15867400887445737,7.271511024968835,10.747090848545728,163.23,170.43,0.03420840146894666,0.027557362097929583,2,NONE,NONE,100.0
144.15,136.21,140.18,170.42,159.23,115.76,105.0,26.27,170.42,0.0,0.03476049968618389,0.0012763116031155874,1.7447136037468947,0.010674263258497463,-0.05106332726072582,0.013890125095050165,0.055173000044272946,0.030370579336750136,118.6487099930647,14.384981673981512,142.59,169.03,0.08545628450908305,0.018724636023916386,2,NONE,NONE,100.0
137.87,133.65,135.76,122.2,116.79,159.65,112.7,21.32,122.2,0.0,0.02725348745684475,1.9334542599304505,-0.6846619201451909,0.011524481969243272,-0.011492024741541318,0.01826224876119731,0.02518003336087682,0.014130678591898427,-22.6235565144498,19.83109258051949,157.39,165.67,0.044397976253272964,0.043135696348979735,2,NONE,NONE,100.0
89.18,92.8,90.99000000000001,75.33,95.53,171.05,131.91,16.84,75.33,0.117,0.0032083495154825448,1.1152639221509664,-1.9207505941028158,0.01614785704838073,0.0067244322086271735,0.003674784229361905,0.06689124562642912,0.03389138460966862,822.2686964549636,13.261760723590822,170.88,174.97,0.043858162871840856,0.0072087039923300344,3,NONE,NONE,100.0
141.69,141.08,141.385,90.66,112.78,115.97,174.41,43.71,90.66,0.029,0.013476240445310816,-2.9941616219368195,-1.5817442956994054,-0.0025671094982731013,-0.014877998651589674,0.020068775154939433,0.07141756270822242,0.01168425654596672,-41.778925441342,10.197452701152175,163.82,171.39,0.01221363977047285,0.005524488800455307,2,MEDIUM,NONE,85.0
168.52,153.73,161.125,156.28,161.95,159.69,159.88,8.46,156.28,0.0,0.01061509776068359,-1.330790213349109,-2.556329948082514,-0.0036964508051126055,-0.021422070767133095,0.012000276244865105,0.0296676020691512,0.000544711954011734,-95.46083820991358,7.659407295779318,150.98,155.29,0.053629538840471724,0.042283958913142294,1,NONE,LOW,95.0
172.76,168.16,170.45999999999998,149.74,154.53,147.28,168.53,35.2,150.78,0.435,0.001960727244490257,-1.091942307114696,1.8255471424681868,0.0052253514651264266,0.022893836980541815,0.10039720861487722,0.11589886316780806,0.09066035926915084,-9.698326756351214,5.023759394188772,149.13,166.17,0.07652577973529506,0.04303916477660008,1,NONE,LOW,95.0
119.05,145.13,132.09,67.34,79.61,142.69,114.53,56.74,70.7,0.548,0.01679686641682132,2.1048148975976453,2.4333308587226044,0.0011165490094626196,0.0018581786910379927,0.11143860753142742,0.11332744299600839,0.07435776228584778,-33.27468466000194,8.510823688355966,157.67,154.32,0.03348096483386509,0.058664951285052,2,HIGH,NONE,75.0
